day,time,operation
13,18:00,запустил test
13,18:00,запустил test
13,18:03,стартовал grafana
13,18:03,стартовал grafana
13,18:03,стартовал grafana
13,18:04,перешел в status TEST_STOPPING
13,18:04,перешел в status CANCELED
13,18:04,перешел в status TEST_STOPPING
13,18:04,перешел в status CANCELED
13,18:04,перешел в status TEST_STOPPING
13,18:04,перешел в status CANCELED
13,18:05,запустил test
13,18:05,запустил test
13,18:05,запустил test
13,18:05,стартовал grafana
13,18:05,стартовал grafana
13,18:05,стартовал grafana
13,18:06,перешел в status TEST_STOPPING
13,18:06,перешел в status CANCELED
13,18:07,перешел в status TEST_STOPPING
13,18:07,перешел в status CANCELED
13,18:07,перешел в status TEST_STOPPING
13,18:07,перешел в status CANCELED
13,18:07,запустил test
13,18:07,запустил test
13,18:07,запустил test
13,18:08,стартовал grafana
13,18:08,стартовал grafana
13,18:08,стартовал grafana
13,18:27,перешел в status TEST_STOPPING
13,18:27,перешел в status CANCELED
13,18:27,перешел в status TEST_STOPPING
13,18:27,перешел в status CANCELED
